[Thu May 04 19:22:13.845820 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:65455] PHP Notice:  Undefined variable: pass in G:\\PROJECTS\\WEB\\faculty\\functions\\constructor.php on line 53, referer: http://faculty.com/admin/index.php
[Thu May 04 19:22:13.846319 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:65455] PHP Notice:  Undefined variable: url in G:\\PROJECTS\\WEB\\faculty\\functions\\constructor.php on line 53, referer: http://faculty.com/admin/index.php
[Thu May 04 19:22:13.855343 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:65455] PHP Notice:  Trying to get property of non-object in G:\\PROJECTS\\WEB\\faculty\\admin\\constructor.php on line 80, referer: http://faculty.com/admin/index.php
[Thu May 04 19:22:15.117674 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:65455] PHP Notice:  Undefined variable: pass in G:\\PROJECTS\\WEB\\faculty\\functions\\constructor.php on line 53, referer: http://faculty.com/admin/index.php
[Thu May 04 19:22:15.117674 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:65455] PHP Notice:  Undefined variable: url in G:\\PROJECTS\\WEB\\faculty\\functions\\constructor.php on line 53, referer: http://faculty.com/admin/index.php
[Thu May 04 19:22:15.125695 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:65455] PHP Notice:  Trying to get property of non-object in G:\\PROJECTS\\WEB\\faculty\\admin\\constructor.php on line 80, referer: http://faculty.com/admin/index.php
[Thu May 04 19:22:15.661680 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:65455] PHP Notice:  Undefined variable: pass in G:\\PROJECTS\\WEB\\faculty\\functions\\constructor.php on line 53, referer: http://faculty.com/admin/index.php
[Thu May 04 19:22:15.661680 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:65455] PHP Notice:  Undefined variable: url in G:\\PROJECTS\\WEB\\faculty\\functions\\constructor.php on line 53, referer: http://faculty.com/admin/index.php
[Thu May 04 19:22:15.672214 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:65455] PHP Notice:  Trying to get property of non-object in G:\\PROJECTS\\WEB\\faculty\\admin\\constructor.php on line 80, referer: http://faculty.com/admin/index.php
[Thu May 04 19:22:16.244897 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:65455] PHP Notice:  Undefined variable: pass in G:\\PROJECTS\\WEB\\faculty\\functions\\constructor.php on line 53, referer: http://faculty.com/admin/index.php
[Thu May 04 19:22:16.245399 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:65455] PHP Notice:  Undefined variable: url in G:\\PROJECTS\\WEB\\faculty\\functions\\constructor.php on line 53, referer: http://faculty.com/admin/index.php
[Thu May 04 19:22:16.254426 2017] [:error] [pid 4908:tid 1976] [client 127.0.0.1:65455] PHP Notice:  Trying to get property of non-object in G:\\PROJECTS\\WEB\\faculty\\admin\\constructor.php on line 80, referer: http://faculty.com/admin/index.php
[Thu May 04 19:23:36.198524 2017] [:error] [pid 4908:tid 1992] [client 127.0.0.1:65466] PHP Notice:  Undefined variable: pass in G:\\PROJECTS\\WEB\\faculty\\functions\\constructor.php on line 53, referer: http://faculty.com/admin/index.php
